technology,parameter,year,value,unit,source,further description
Ammonia cracker,FOM,2020,3.0,%/year,-,
Ammonia cracker,investment,2020,1400083.71,EUR/MW_H2,ENGIE et al (2020): Ammonia to Green Hydrogen Feasibility Study (https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/880826/HS420_-_Ecuity_-_Ammonia_to_Green_Hydrogen.pdf).,
Ammonia cracker,lifetime,2020,30.0,years,-,
CCGT,FOM,2020,3.33,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","05 Gas turb. CC, steam extract.:  Fixed O&M"
CCGT,VOM,2020,4.4,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","05 Gas turb. CC, steam extract.:  Variable O&M"
CCGT,c_b,2020,1.8,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","05 Gas turb. CC, steam extract.:  Cb coefficient"
CCGT,c_v,2020,0.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","05 Gas turb. CC, steam extract.:  Cv coefficient"
CCGT,efficiency,2020,0.56,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","05 Gas turb. CC, steam extract.:  Electricity efficiency, annual average"
CCGT,investment,2020,880.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","05 Gas turb. CC, steam extract.:  Nominal investment"
CCGT,lifetime,2020,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","05 Gas turb. CC, steam extract.:  Technical lifetime"
CH4 (g) fill compressor station,FOM,2020,1.7,%/year,Assume same as for H2 (g) fill compressor station.,
CH4 (g) fill compressor station,investment,2020,1498.95,EUR/MW_CH4,"Guesstimate, based on H2 (g) pipeline and fill compressor station cost.",
CH4 (g) fill compressor station,lifetime,2020,20.0,years,Assume same as for H2 (g) fill compressor station.,
CH4 (g) pipeline,FOM,2020,1.5,%/year,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,
CH4 (g) pipeline,investment,2020,79.0,EUR/MW/km,Guesstimate.,
CH4 (g) pipeline,lifetime,2020,50.0,years,Assume same as for H2 (g) pipeline in 2050 (CH4 pipeline as mature technology).,
CH4 (g) submarine pipeline,FOM,2020,3.0,%/year,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",
CH4 (g) submarine pipeline,investment,2020,114.89,EUR/MW/km,Kaiser (2017): 10.1016/j.marpol.2017.05.003 .,
CH4 (g) submarine pipeline,lifetime,2020,30.0,years,"d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material.",
CH4 (l) transport ship,FOM,2020,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,capacity,2020,58300.0,t_CH4,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,investment,2020,151000000.0,EUR,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 (l) transport ship,lifetime,2020,25.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,FOM,2020,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,investment,2020,0.28,EUR/kW_CH4,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 evaporation,lifetime,2020,30.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,FOM,2020,3.5,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,investment,2020,0.74,EUR/kW_CH4,"Calculated, based on Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CH4 liquefaction,lifetime,2020,25.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
CO2 liquefaction,FOM,2020,5.0,%/year,Mitsubish Heavy Industries Ltd. and IEA (2004): https://ieaghg.org/docs/General_Docs/Reports/PH4-30%20Ship%20Transport.pdf .,
